RESULTATRÄKNING OCH BALANSRÄKNING
Belopp i tkr
Nettoomsättning        12 000
Övriga externa kostnader    -4 800
Personalkostnader        -4 200
Löner och andra ersättningar    -3 060
Pensionskostnader        -140
Avskrivningar        -380
Rörelseresultat        2 620
Resultat före skatt        2 620
Skattemässigt resultat        2 600
Skatt på årets resultat        -539
Årets resultat        2 081

Materiella anläggningstillgångar    2 400
Inventarier, verktyg och installationer  2 400
Varulager        200 000
Kundfordringar        400 000
Kassa och bank        600 000
Summa tillgångar        1 202 400
Eget kapital        202 400
Kortfristiga skulder        1 000 000
Summa eget kapital och skulder    1 202 400
