RESULTATRÄKNING OCH BALANSRÄKNING
NETTOOMSÄTTNING        12 000 000
ÖVRIGA EXTERNA KOSTNADER    -4 800 000
PERSONALKOSTNADER        -4 200 000
LÖNER OCH ANDRA ERSÄTTNINGAR    -3 060 000
PENSIONSKOSTNADER        -140 000
AVSKRIVNINGAR        -380 000
RÖRELSERESULTAT        2 620 000
RESULTAT FÖRE SKATT        2 620 000
SKATTEMÄSSIGT RESULTAT        2 600 000
SKATT PÅ ÅRETS RESULTAT        -539 720
ÅRETS RESULTAT        2 080 280

MATERIELLA ANLÄGGNINGSTILLGÅNGAR    2 400 000
INVENTARIER, VERKTYG OCH INSTALLATIONER  2 400 000
VARULAGER        200 000
KUNDFORDRINGAR        400 000
KASSA OCH BANK        600 000
SUMMA TILLGÅNGAR        3 600 000
EGET KAPITAL        2 600 000
KORTFRISTIGA SKULDER        1 000 000
SUMMA EGET KAPITAL OCH SKULDER    3 600 000
