resultaträkning och balansräkning
nettoomsättning        12 000 000
övriga externa kostnader    -4 800 000
personalkostnader        -4 200 000
löner och andra ersättningar    -3 060 000
pensionskostnader        -140 000
avskrivningar        -380 000
rörelseresultat        2 620 000
resultat före skatt        2 620 000
skattemässigt resultat        2 600 000
skatt på årets resultat        -539 720
årets resultat        2 080 280

materiella anläggningstillgångar    2 400 000
inventarier, verktyg och installationer  2 400 000
varulager        200 000
kundfordringar        400 000
kassa och bank        600 000
summa tillgångar        3 600 000
eget kapital        2 600 000
kortfristiga skulder        1 000 000
summa eget kapital och skulder    3 600 000
