RESULTATRÄKNING OCH BALANSRÄKNING
Nettoomsättning        -5 000 000
Övriga externa kostnader    -4 800 000
Personalkostnader        -4 200 000
Löner och andra ersättningar    -3 060 000
Pensionskostnader        -140 000
Avskrivningar        -380 000
Rörelseresultat        -14 380 000
Resultat före skatt        -14 380 000
Skattemässigt resultat        2 600 000
Skatt på årets resultat        -0
Årets resultat        -14 380 000

Materiella anläggningstillgångar    2 400 000
Inventarier, verktyg och installationer  2 400 000
Varulager        200 000
Kundfordringar        400 000
Kassa och bank        600 000
Summa tillgångar        3 600 000
Eget kapital        2 600 000
Kortfristiga skulder        1 000 000
Summa eget kapital och skulder    3 600 000
